DRUG_CODE,ROUTE_OF_ADMINISTRATION_CODE,ROUTE_OF_ADMINISTRATION,ROUTE_OF_ADMINISTRATION_F
"75817","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"91038","56","ORAL","Orale"
"91058","56","ORAL","Orale"
"91059","56","ORAL","Orale"
"91060","56","ORAL","Orale"
"91063","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"91071","70","TOPICAL","Topique"
"91072","56","ORAL","Orale"
"91073","56","ORAL","Orale"
"91088","22","INTRAMUSCULAR","Intramusculaire"
"91088","49","INTRAVENOUS","Intraveineuse"
"91088","65","SUBCUTANEOUS","Sous-cutanée"
"91099","49","INTRAVENOUS","Intraveineuse"
"91100","22","INTRAMUSCULAR","Intramusculaire"
"91134","85","PERCUTANEOUS","Percutanée"
"91147","56","ORAL","Orale"
"91165","56","ORAL","Orale"
"77767","56","ORAL","Orale"
"90401","56","ORAL","Orale"
"90402","56","ORAL","Orale"
"90403","56","ORAL","Orale"
"90404","56","ORAL","Orale"
"90405","56","ORAL","Orale"
"90406","56","ORAL","Orale"
"90407","56","ORAL","Orale"
"90441","56","ORAL","Orale"
"90442","56","ORAL","Orale"
"90455","70","TOPICAL","Topique"
"90456","70","TOPICAL","Topique"
"80768","56","ORAL","Orale"
"80770","49","INTRAVENOUS","Intraveineuse"
"80848","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"80848","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"89851","55","OPHTHALMIC","Ophtalmique"
"89852","6","HAEMODIALYSIS","Hémodialyse"
"89854","55","OPHTHALMIC","Ophtalmique"
"89859","6","HAEMODIALYSIS","Hémodialyse"
"89861","6","HAEMODIALYSIS","Hémodialyse"
"89894","55","OPHTHALMIC","Ophtalmique"
"100834","22","INTRAMUSCULAR","Intramusculaire"
"101414","56","ORAL","Orale"
"100384","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100384","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100384","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100384","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100467","49","INTRAVENOUS","Intraveineuse"
"100467","22","INTRAMUSCULAR","Intramusculaire"
"100467","65","SUBCUTANEOUS","Sous-cutanée"
"100468","22","INTRAMUSCULAR","Intramusculaire"
"100468","49","INTRAVENOUS","Intraveineuse"
"100468","65","SUBCUTANEOUS","Sous-cutanée"
"100473","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100473","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100473","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100473","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100473","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100551","49","INTRAVENOUS","Intraveineuse"
"100556","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100556","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100556","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100556","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100556","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101083","56","ORAL","Orale"
"101240","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101240","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101240","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"98993","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"98993","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"98993","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"98993","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"99201","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"99201","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"99201","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"99201","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"99201","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"99575","56","ORAL","Orale"
"99594","56","ORAL","Orale"
"101464","70","TOPICAL","Topique"
"101480","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101484","56","ORAL","Orale"
"95713","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101510","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"99907","56","ORAL","Orale"
"99908","56","ORAL","Orale"
"100314","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100314","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100314","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100314","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100324","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100601","92","0-UNASSIGNED","0-Non attribuée"
"100614","56","ORAL","Orale"
"100619","56","ORAL","Orale"
"69891","56","ORAL","Orale"
"94444","49","INTRAVENOUS","Intraveineuse"
"94457","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"94457","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"94457","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"94457","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"94458","29","INHALATION","Inhalation"
"94460","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"94461","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"94460","7","EPIDURAL","Épidurale"
"94461","7","EPIDURAL","Épidurale"
"94466","56","ORAL","Orale"
"94469","56","ORAL","Orale"
"94471","56","ORAL","Orale"
"94472","56","ORAL","Orale"
"94473","56","ORAL","Orale"
"94474","56","ORAL","Orale"
"94482","70","TOPICAL","Topique"
"94484","56","ORAL","Orale"
"94493","56","ORAL","Orale"
"94495","49","INTRAVENOUS","Intraveineuse"
"94497","56","ORAL","Orale"
"103385","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101870","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101870","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101870","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103101","56","ORAL","Orale"
"103102","56","ORAL","Orale"
"103103","56","ORAL","Orale"
"100248","56","ORAL","Orale"
"100247","56","ORAL","Orale"
"100249","56","ORAL","Orale"
"100470","56","ORAL","Orale"
"100471","49","INTRAVENOUS","Intraveineuse"
"100604","49","INTRAVENOUS","Intraveineuse"
"100605","70","TOPICAL","Topique"
"100608","56","ORAL","Orale"
"99992","70","TOPICAL","Topique"
"101296","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101296","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101296","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"101296","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101296","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"99558","56","ORAL","Orale"
"99559","56","ORAL","Orale"
"100634","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100634","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100634","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100996","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"97560","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"101215","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101215","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101215","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101215","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101216","56","ORAL","Orale"
"101217","56","ORAL","Orale"
"101120","70","TOPICAL","Topique"
"101121","70","TOPICAL","Topique"
"101122","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"101406","56","ORAL","Orale"
"99743","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"99743","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100067","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100067","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100067","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100067","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100067","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100068","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100068","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100068","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100068","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100068","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100069","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100069","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100069","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100069","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100073","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100073","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100073","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100073","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100364","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100364","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100364","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100364","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100441","56","ORAL","Orale"
"100442","56","ORAL","Orale"
"100443","56","ORAL","Orale"
"100444","56","ORAL","Orale"
"100445","56","ORAL","Orale"
"100457","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100457","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100457","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100457","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100457","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100458","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100458","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"42929","49","INTRAVENOUS","Intraveineuse"
"99150","56","ORAL","Orale"
"99144","49","INTRAVENOUS","Intraveineuse"
"99145","56","ORAL","Orale"
"99151","56","ORAL","Orale"
"100047","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101017","56","ORAL","Orale"
"101019","56","ORAL","Orale"
"101222","56","ORAL","Orale"
"101223","56","ORAL","Orale"
"101224","70","TOPICAL","Topique"
"101317","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101318","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101318","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101318","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101319","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101319","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101319","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"99277","56","ORAL","Orale"
"99278","56","ORAL","Orale"
"99279","56","ORAL","Orale"
"99280","56","ORAL","Orale"
"99281","56","ORAL","Orale"
"99655","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"99655","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"99655","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"99655","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100268","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100268","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100268","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100272","56","ORAL","Orale"
"100273","56","ORAL","Orale"
"100274","56","ORAL","Orale"
"100703","49","INTRAVENOUS","Intraveineuse"
"101413","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"99002","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"99002","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"99002","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"99002","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100458","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100458","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100458","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"102162","22","INTRAMUSCULAR","Intramusculaire"
"101973","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"102038","49","INTRAVENOUS","Intraveineuse"
"102304","49","INTRAVENOUS","Intraveineuse"
"102305","49","INTRAVENOUS","Intraveineuse"
"102410","49","INTRAVENOUS","Intraveineuse"
"102481","56","ORAL","Orale"
"102482","56","ORAL","Orale"
"102597","70","TOPICAL","Topique"
"103165","49","INTRAVENOUS","Intraveineuse"
"103166","49","INTRAVENOUS","Intraveineuse"
"103172","70","TOPICAL","Topique"
"103173","56","ORAL","Orale"
"103174","56","ORAL","Orale"
"103175","56","ORAL","Orale"
"103176","56","ORAL","Orale"
"103177","56","ORAL","Orale"
"103178","70","TOPICAL","Topique"
"103561","56","ORAL","Orale"
"103562","56","ORAL","Orale"
"103563","56","ORAL","Orale"
"102699","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"102699","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"86075","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"86075","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"103196","56","ORAL","Orale"
"103197","56","ORAL","Orale"
"103342","56","ORAL","Orale"
"103422","56","ORAL","Orale"
"103423","56","ORAL","Orale"
"103424","56","ORAL","Orale"
"103425","56","ORAL","Orale"
"103439","70","TOPICAL","Topique"
"101708","70","TOPICAL","Topique"
"102299","65","SUBCUTANEOUS","Sous-cutanée"
"102300","65","SUBCUTANEOUS","Sous-cutanée"
"103112","70","TOPICAL","Topique"
"103404","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"103405","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"103497","56","ORAL","Orale"
"102915","56","ORAL","Orale"
"102916","56","ORAL","Orale"
"102921","49","INTRAVENOUS","Intraveineuse"
"102938","56","ORAL","Orale"
"102940","70","TOPICAL","Topique"
"102944","56","ORAL","Orale"
"102945","56","ORAL","Orale"
"102431","56","ORAL","Orale"
"102781","49","INTRAVENOUS","Intraveineuse"
"102781","22","INTRAMUSCULAR","Intramusculaire"
"103294","56","ORAL","Orale"
"103295","56","ORAL","Orale"
"103296","56","ORAL","Orale"
"103297","56","ORAL","Orale"
"103750","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101614","49","INTRAVENOUS","Intraveineuse"
"101726","56","ORAL","Orale"
"101727","56","ORAL","Orale"
"101728","56","ORAL","Orale"
"102648","49","INTRAVENOUS","Intraveineuse"
"102650","56","ORAL","Orale"
"102651","56","ORAL","Orale"
"102796","56","ORAL","Orale"
"103021","56","ORAL","Orale"
"103022","56","ORAL","Orale"
"102755","22","INTRAMUSCULAR","Intramusculaire"
"102755","49","INTRAVENOUS","Intraveineuse"
"102755","65","SUBCUTANEOUS","Sous-cutanée"
"102834","22","INTRAMUSCULAR","Intramusculaire"
"102834","42","INTRASYNOVIAL","Intrasynoviale"
"102834","49","INTRAVENOUS","Intraveineuse"
"103585","49","INTRAVENOUS","Intraveineuse"
"103586","49","INTRAVENOUS","Intraveineuse"
"103588","74","VAGINAL","Vaginale"
"103589","74","VAGINAL","Vaginale"
"103589","70","TOPICAL","Topique"
"102991","70","TOPICAL","Topique"
"102114","56","ORAL","Orale"
"102115","65","SUBCUTANEOUS","Sous-cutanée"
"103137","56","ORAL","Orale"
"103139","56","ORAL","Orale"
"103140","56","ORAL","Orale"
"101854","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101854","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101854","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101854","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103113","29","INHALATION","Inhalation"
"103474","56","ORAL","Orale"
"102863","70","TOPICAL","Topique"
"102815","70","TOPICAL","Topique"
"21854","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"102315","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"102315","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"102315","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"102315","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"102315","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"67774","56","ORAL","Orale"
"85041","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"85041","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"85041","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"85054","49","INTRAVENOUS","Intraveineuse"
"85059","22","INTRAMUSCULAR","Intramusculaire"
"85076","56","ORAL","Orale"
"85077","56","ORAL","Orale"
"85078","56","ORAL","Orale"
"85079","22","INTRAMUSCULAR","Intramusculaire"
"85084","49","INTRAVENOUS","Intraveineuse"
"85085","49","INTRAVENOUS","Intraveineuse"
"60216","22","INTRAMUSCULAR","Intramusculaire"
"60219","56","ORAL","Orale"
"99737","56","ORAL","Orale"
"101662","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"101662","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101662","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101662","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101662","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101917","56","ORAL","Orale"
"101918","56","ORAL","Orale"
"101919","56","ORAL","Orale"
"101920","56","ORAL","Orale"
"103053","49","INTRAVENOUS","Intraveineuse"
"102946","55","OPHTHALMIC","Ophtalmique"
"102947","56","ORAL","Orale"
"102948","56","ORAL","Orale"
"103601","65","SUBCUTANEOUS","Sous-cutanée"
"103602","65","SUBCUTANEOUS","Sous-cutanée"
"102513","70","TOPICAL","Topique"
"103773","56","ORAL","Orale"
"103774","56","ORAL","Orale"
"103775","65","SUBCUTANEOUS","Sous-cutanée"
"103776","56","ORAL","Orale"
"103777","70","TOPICAL","Topique"
"101764","29","INHALATION","Inhalation"
"102430","70","TOPICAL","Topique"
"103478","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101544","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"102758","22","INTRAMUSCULAR","Intramusculaire"
"102758","49","INTRAVENOUS","Intraveineuse"
"102758","65","SUBCUTANEOUS","Sous-cutanée"
"101669","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"101669","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101669","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101669","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101669","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103700","56","ORAL","Orale"
"103701","56","ORAL","Orale"
"103702","56","ORAL","Orale"
"103703","56","ORAL","Orale"
"103704","56","ORAL","Orale"
"103705","56","ORAL","Orale"
"103004","56","ORAL","Orale"
"103006","56","ORAL","Orale"
"102196","49","INTRAVENOUS","Intraveineuse"
"69443","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103666","65","SUBCUTANEOUS","Sous-cutanée"
"103678","56","ORAL","Orale"
"102759","49","INTRAVENOUS","Intraveineuse"
"101736","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"101736","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101736","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101736","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101736","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"102690","56","ORAL","Orale"
"103558","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"103558","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"103558","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"103558","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"103558","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103559","65","SUBCUTANEOUS","Sous-cutanée"
"102034","49","INTRAVENOUS","Intraveineuse"
"102035","49","INTRAVENOUS","Intraveineuse"
"102036","49","INTRAVENOUS","Intraveineuse"
"102375","56","ORAL","Orale"
"102376","70","TOPICAL","Topique"
"102780","49","INTRAVENOUS","Intraveineuse"
"102009","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"102009","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"102009","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"102009","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"102918","56","ORAL","Orale"
"102919","56","ORAL","Orale"
"102928","66","SUBLINGUAL","Sublinguale"
"102929","66","SUBLINGUAL","Sublinguale"
"102933","56","ORAL","Orale"
"102934","56","ORAL","Orale"
"102935","56","ORAL","Orale"
"103350","56","ORAL","Orale"
"103351","70","TOPICAL","Topique"
"103236","49","INTRAVENOUS","Intraveineuse"
"102216","56","ORAL","Orale"
"103427","56","ORAL","Orale"
"103428","56","ORAL","Orale"
"103429","56","ORAL","Orale"
"103430","70","TOPICAL","Topique"
"103024","56","ORAL","Orale"
"103025","56","ORAL","Orale"
"103026","56","ORAL","Orale"
"103027","56","ORAL","Orale"
"103798","56","ORAL","Orale"
"103799","56","ORAL","Orale"
"103800","65","SUBCUTANEOUS","Sous-cutanée"
"103801","65","SUBCUTANEOUS","Sous-cutanée"
"103512","56","ORAL","Orale"
"103513","56","ORAL","Orale"
"103514","56","ORAL","Orale"
"103515","56","ORAL","Orale"
"103516","56","ORAL","Orale"
"103541","49","INTRAVENOUS","Intraveineuse"
"103542","49","INTRAVENOUS","Intraveineuse"
"103543","56","ORAL","Orale"
"103544","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100689","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100794","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100794","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100794","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101521","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"97867","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100606","56","ORAL","Orale"
"100837","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100837","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100837","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100837","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100837","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100839","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100839","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100839","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100838","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100838","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100838","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"85112","56","ORAL","Orale"
"85126","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)"
"85128","56","ORAL","Orale"
"85129","56","ORAL","Orale"
"85133","49","INTRAVENOUS","Intraveineuse"
"85171","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"85209","49","INTRAVENOUS","Intraveineuse"
"84540","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"84540","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"84540","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"94522","53","NASAL","Nasale"
"94526","70","TOPICAL","Topique"
"94544","55","OPHTHALMIC","Ophtalmique"
"94547","56","ORAL","Orale"
"94548","56","ORAL","Orale"
"94556","22","INTRAMUSCULAR","Intramusculaire"
"94563","56","ORAL","Orale"
"94564","56","ORAL","Orale"
"94583","55","OPHTHALMIC","Ophtalmique"
"102223","70","TOPICAL","Topique"
"102268","70","TOPICAL","Topique"
"103240","56","ORAL","Orale"
"103313","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"103313","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101645","70","TOPICAL","Topique"
"71447","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"102979","56","ORAL","Orale"
"102980","56","ORAL","Orale"
"102981","56","ORAL","Orale"
